baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
miR.011	149460.684921179	1.23791803665077e-07	3.46445420676464e-07	0.357319786254824	0.72085241912306	0.831064866848075	0.831064866848075	0.244698074042514	8.53072974911636e-07	0.14411172116253	4.28353710603939e-11	0.641183959626277	0.541931399294563	2.58077027117238e-14	3.77790150428793e-05	0.000247468803469853	4.84227194245134e-107	0.00690747479706032	0.00306864073039173	6.3486445972524e-06	0.0352318923775045	0.83288411049496	0.431486922814625	0.000365973240946847	0.0445349799359537	0.00191959226828891	0.00289476809165951	0.46965257624612	0.33975403832742	0.000252649319847972	0.489421586306612	0.000553378034548597	0.00752015281150975	0.294647557348416	0.0995235569364757	0.195476455481665	0.849540009214403	1.1809595524501e-08	8.7239511678229e-11	6.69524078300668e-08	0.000963871143957634	0.0235172657510529	0.291216969933675	0.00107175503774533	0.00180179983934652	3.61216841731984e-09	0.32054187012098	0.000632250550239094	0.00286369332965842	5.55974930767083e-06	0.000157750974381667	0.319370650141335	1.57967446888872e-08	0.767656457537497	0.7849253787689	0.00536509052050232
miR.012	121074.326139815	-3.39492474944179e-07	1.68642328730124e-07	-2.01309171606296	0.0441049815594402	0.129720533998354	0.129720533998354	0.0706857890527992	0.00201518774806413	0.0611569437255533	0.017920905013214	0.748695756596453	0.993305378957427	0.0714301078085738	4.0072819335658e-05	5.05715026691883e-09	0.641819110064118	1.24625582929178e-33	0.55286846094438	0.100033394469982	0.241825036247183	0.114276513052092	0.884714368974709	0.0545130062818098	0.566573153535112	0.918021885111534	1.58046363684328e-05	0.18177516104445	0.565317088547668	0.833274916013815	0.440326822953213	0.16996335997263	4.29226777371925e-11	0.983632767042577	0.454987410031348	0.113561115592201	0.983416343838404	0.573449554801194	0.345654440582411	0.179340317466833	0.159379140715688	0.467507610585013	0.0543896405768042	0.762937027438428	0.953932555031168	0.00528420772422133	0.512735137832084	0.906189751349211	0.756104316762563	0.0154327701558675	3.62744303056934e-07	0.280914152599095	0.551364707188982	0.0170438883284477	0.426191317735214	0.0792330401970402
miR.013	110283.337530337	2.07069411243204e-07	1.92606701255235e-07	1.07508933953862	0.282334731817149	0.470557886361916	0.470557886361916	0.278277465265804	0.626668971555349	0.444872555467555	0.568976194533225	0.987789929561201	0.993305378957427	0.27128485541415	0.189566496199956	0.169729986423155	0.162949349794639	0.21209756380374	2.20808901896621e-23	0.0435238307330159	0.873482643598379	0.571680852296513	0.104973287477904	0.190963029794311	0.550259091467005	0.272654092187341	0.291996383022405	0.71136529400786	0.565317088547668	0.320725599731306	0.721218651971451	0.381996935694895	0.058795457528829	0.983632767042577	0.776490353901861	0.423870377040475	0.924260538795049	0.0315336080410094	0.394121740277607	0.271961664407584	0.934050805717354	0.793616440170782	0.853718626956327	0.292260172663414	0.024997664372548	0.506354134388832	0.37476755682025	0.98902524293694	0.247783265417561	0.66805956304244	0.354053675652715	0.0821245402056471	0.00591888438723532	0.764388304261575	0.7849253787689	0.661731942425202
miR.014	117802.630132869	-8.35377950643135e-07	3.78588980740989e-07	-2.20655643227677	0.0273450635870258	0.0976609413822351	0.0976609413822351	0.99582919615838	0.000145777725492128	0.581215780871474	1.75505113817487e-06	0.703960801650062	0.993305378957427	8.84757186024048e-07	0.0837697067695874	0.0101423901756354	0.000369005251481565	0.00665358333034223	1.75034959988938e-05	2.74311346989621e-52	0.676225475627744	0.250263008353918	0.228605667954002	3.34110929292479e-07	0.0251841973848882	0.00191959226828891	0.00132913929918178	0.0189703352663118	0.406387938471561	0.000252649319847972	0.0627881350620299	1.41036438627961e-07	0.0776098336756786	0.976734885165517	0.400569998080622	0.0172027120422083	0.584078347653215	0.000615692532392468	0.00602066517548525	0.00138213245627287	8.86530803395985e-05	0.48040182313174	0.501170687588539	0.00982216661343707	0.00110945086482905	1.63987107649977e-17	0.00658113589949338	0.0227396720936203	2.11233149629375e-05	0.000272740354827319	0.043764317466314	0.750539660500167	0.000117802857402433	0.16484667069972	0.595083062352082	0.110342559977381
miR.015	109779.44525985	-1.22060587011527e-07	7.82988210365203e-07	-0.155890708692274	0.876119169159949	0.912624134541614	0.912624134541614	0.42915792446525	2.4817918793497e-05	0.000371543328873977	5.12528003416177e-07	0.295101011657475	0.993305378957427	0.000420399671550045	5.46514101780159e-06	0.000320340568783598	0.00936639654374091	0.000363257912197431	0.335699305968681	0.0442636061761536	2.59291879042491e-59	0.978231795955587	0.963551489537652	0.0270845190534755	0.852056861822566	0.215208180587014	0.000799221202713166	0.920751297014427	0.719016115846946	0.0018015680434615	0.600582965742233	0.0431705663095188	0.00179361384051482	0.10480080245667	0.0836507917579183	0.99290281211463	0.983416343838404	0.0269555055230284	3.42856924803984e-06	0.00323801869013894	0.0309852330889897	0.0234633870886754	0.632601715968853	0.0347925513940447	0.00553929471866793	0.00148128597699154	0.752821483009594	0.00130419341522427	0.00865299654047149	4.26618693289966e-05	1.83678120011316e-05	0.750539660500167	0.00089554403260018	0.569411521385595	0.304614354769094	0.00788313856658207
miR.016	103730.995081388	-1.73127675934098e-07	1.50371083591415e-07	-1.15133622634865	0.249593939138855	0.43519894246752	0.43519894246752	0.99582919615838	0.805773058585383	0.0980228927340714	0.140343263383193	0.569317761374138	0.776077243339946	0.404014799705181	0.318195984551203	0.723828265057792	0.0330523419843545	0.605093184862414	0.447672029659329	0.434682645392184	0.34652725923486	1.29238858512564e-12	0.415665136131928	0.0563788610196992	0.958738867720769	0.918021885111534	0.565744057770206	0.837222312264099	0.745749690326898	0.440068780626846	0.158188789452025	0.860197478132998	0.422897407830816	0.337751184021235	0.20820808980187	0.0195854466649488	0.849540009214403	0.366786889484005	0.0136944353506236	0.644866032229223	0.955873009247656	0.00447452957172842	0.948998248777588	0.298851920246068	0.606649515300801	0.531576825938913	0.536032451855339	0.289241378311679	0.814971414167099	0.971978780044905	0.537006407320833	0.319370650141335	0.302731758921705	0.655087641929614	0.825830034257846	0.82134933749243
miR.017	107047.753531507	2.04167028386841e-07	4.94696457043533e-07	0.412711725503371	0.679817833010584	0.829046137817785	0.829046137817785	0.99582919615838	0.0385346140125737	0.519025133835298	0.0241682734548206	0.569317761374138	0.776077243339946	0.0233932041814387	0.614878649844605	0.096736397953892	0.201437554845459	0.354735858774761	0.0220071204363722	0.026102660640028	0.856576260562694	0.0584910670343645	2.65067488281024e-62	0.492405858501242	0.0476178990823169	0.0282973774096046	0.0474379296604984	0.405560402222441	0.565317088547668	0.0168665486521416	0.228048374358196	0.00811738032595335	0.174004602486648	0.976734885165517	0.142104642283924	0.0882877785984715	0.849540009214403	5.78958685994e-10	0.0285244518228594	1.2465944822374e-05	0.153626609004047	0.700757870654718	0.215000272973347	0.191650637996142	0.361736791229303	0.0370049326788851	0.536032451855339	0.0238671734347254	0.00122871810152526	0.017915241781763	0.129773296219387	0.576535283047558	0.00244865491445822	0.804180300757186	0.928065057703146	0.278113763162481
miR.018	84196.6565828294	-2.07554275371861e-07	1.81348937669498e-07	-1.14450229507339	0.252415386631161	0.43519894246752	0.43519894246752	0.99582919615838	0.00889189490729067	0.465778528243427	0.017920905013214	0.732239518413585	0.776077243339946	0.0769964938080467	0.182571747073627	0.0810933206657447	0.116458313693315	0.0544504636912443	0.0506504754774546	0.00145043990525093	0.582224028009248	0.494759293353707	0.946955854391044	2.33152923044156e-31	0.836867092413458	0.737577337928373	0.155207614305621	0.71136529400786	0.846681026088824	0.171642826370215	0.757203177411328	0.687773618536953	0.422897407830816	0.983632767042577	0.531836248924567	0.884206227947626	0.849540009214403	0.267476716501606	0.0474891177987946	0.137687099378784	0.321090115678333	0.0368367119162492	0.449837378714835	0.12448307982367	0.0103939200388975	0.00550499357369419	0.0519685898753885	0.607772287369139	0.211281330579897	0.308483465940571	0.26537272463174	0.344782292894274	0.0533417016669339	0.149735262995287	0.892669933796076	0.432658310184193
miR.019	88335.2600023286	5.16436205822196e-08	1.72448719144957e-07	0.299472334954306	0.764579677500229	0.831064866848075	0.831064866848075	0.0259574747709893	0.174364982990281	0.131122840996038	0.753930579944988	0.568080771735126	0.776077243339946	0.204013816840541	0.133771806285052	0.169729986423155	0.756973165562081	0.155458542030105	0.710540286404305	0.768071581466471	0.502227586871763	0.978231795955587	0.485132632750709	0.578390855655913	4.99207511679458e-17	0.0830113449892206	0.578454386003055	0.634177704523148	0.734387715363	0.320725599731306	0.258496625054977	0.841777207111832	0.159222572443126	0.983632767042577	0.815387091638705	0.423870377040475	0.849540009214403	0.959959935222473	0.493035439049952	0.588274011972225	0.715111217963706	0.0435312471815439	0.0543896405768042	0.152087380263465	0.768915272341643	0.506354134388832	0.487525507714999	0.734008823219399	0.381784999572567	0.956027720427373	0.12381240365681	0.750539660500167	0.447006962998522	0.569411521385595	0.21404285652149	0.0349899010429005
miR.020	82415.961232248	5.74860869614766e-07	2.25133074000505e-07	2.55342699941758	0.010666863639459	0.0592603535525501	0.0592603535525501	0.99582919615838	2.3456045882422e-05	0.480388576589595	2.96920908452513e-05	0.895615537018963	0.993305378957427	8.84757186024048e-07	0.0347087184687381	0.0163066165890235	0.000369005251481565	0.00905599515451361	0.0188133349141554	6.73784856363666e-06	0.294289020701566	0.0713214865698817	0.227747213123762	0.0182789467237326	0.00749567227371888	5.30417756469103e-39	0.00196715212242359	0.00285209674834693	0.0113395336875423	8.29756849427288e-06	0.000268669583211952	9.60690161385925e-06	0.0280572757889496	0.49260131632729	0.567703777032124	0.00139110940165045	0.924260538795049	4.31490488067538e-05	0.000269404044242732	0.000523115926741222	7.06332799540267e-08	0.688467927490046	0.00273656032560307	0.00369284887074528	5.74305512632266e-05	3.57924494102373e-08	0.0456057965534006	9.13697259411687e-08	2.24228597646699e-09	2.63790978320454e-06	0.043764317466314	0.918354386914237	0.00041552419894278	0.575066669674306	0.7849253787689	0.000325955108767223
