	Ind1	Ind2	Ind3	Ind4	Ind5	Ind6	Ind7	Ind8	Ind9	Ind10	Ind11	Ind12	Ind13	Ind14	Ind15	Ind16	Ind17	Ind18	Ind19	Ind20	Ind21	Ind22	Ind23	Ind24	Ind25	Ind26	Ind27	Ind28	Ind29	Ind30	Ind31	Ind32	Ind33	Ind34	Ind35	Ind36	Ind37	Ind38	Ind39	Ind40
miR.011	142733	221115	127170	149504	167150	110396	178832	119669	108510	150292	172282	188617	283508	124003	114521	96233	139186	201019	141697	122273	157519	96654	162429	177230	149287	117529	269851	157482	157046	152463	115379	112610	135951	114963	114378	140544	121977	91779	134757	116678
miR.012	122551	110195	134994	102865	112285	88179	105321	114401	117715	108573	134599	158272	119123	170202	101276	98372	232605	94386	129589	114962	123562	108170	96775	92654	93342	133946	106354	124083	156226	135985	178034	190343	93303	111804	106559	126304	114254	103708	92613	94170
miR.013	123746	114135	109676	94085	98391	122730	116765	112797	91662	86543	85507	104514	72013	114452	106580	130299	96699	86126	140171	153537	114015	108620	116360	83206	83048	170461	85445	113878	115607	136384	99208	112095	132847	97860	126714	111033	104875	87058	136818	104590
miR.014	120026	128640	116285	79229	89405	131151	111721	138875	112147	70030	96971	100774	29288	188659	55582	114515	180603	73666	174582	102552	140235	134560	120841	37737	56089	250153	72555	95997	175249	199251	130312	185043	98815	131368	99462	116002	154164	66863	152972	142964
miR.015	29538	241186	17082	188183	78024	80220	271845	172907	183099	136786	194692	261142	92063	73262	117972	143946	18892	151769	62200	75183	131052	79537	84591	52224	92512	19989	153350	173876	31380	83119	45998	41149	26893	195880	51400	47893	137924	12614	188831	45185
miR.016	94251	145614	105659	99552	89115	83042	86125	91891	89903	90534	104114	129667	112071	132651	98370	85480	150272	96466	100536	103060	84011	86916	100128	68620	94645	114902	91089	111530	111803	108883	129873	86026	111611	116742	83070	118825	105029	108756	104508	111519
miR.017	73661	126924	117577	73946	77244	111453	74258	118699	216278	267146	97330	93047	177718	43204	53476	77649	97479	62214	105168	63358	68593	47158	61517	160748	42353	76551	157297	105559	175015	121241	135037	147646	37703	104495	135479	117675	115267	109326	87905	96561
miR.018	91310	57430	88587	77158	99997	108418	105297	109797	109398	81156	72917	72143	57872	97060	71236	59484	95084	68586	119176	79809	100025	96238	77615	57042	71626	100418	57682	71621	83995	84715	84853	97854	88297	72443	105247	86715	93924	56380	79556	82590
miR.019	106053	103667	96468	73281	82234	96058	85019	105539	98386	87897	86711	85811	61248	100390	109969	86507	91555	89355	89802	66593	89387	79028	91711	70156	82004	103996	68268	80590	71222	79947	79529	98247	96546	79457	59767	98054	84608	89697	110687	106635
miR.020	80470	77612	106288	98509	104572	63054	100131	88149	89402	84672	65694	77892	122344	73450	78272	72718	57613	82155	78047	75285	94425	90255	73036	93231	76433	71244	90285	67878	60698	70553	81328	70437	66297	82850	103173	79345	78318	77267	77043	71708
miR.021	72255	74602	89529	85122	92947	69936	67889	80424	57568	71047	90612	80759	64553	117814	69602	72135	146696	71842	97277	84619	102981	65366	73423	70016	85254	92382	58404	69421	95348	102448	131518	121933	75413	88844	58461	89981	80152	68826	70898	104427
