X.1.	miR.001	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
25	[1]	-0.1911309	-0.1911309	0.1662195	0.61765	-0.4109879	0.5612971	0.3038358	0.0285681	0.5835237	0.4622128	0.5289922	-0.4215539	0.4571595	0.4731535	0.6441765	-0.4802521	0.253357	-0.1714093	0.3358314	0.09615529	-0.4145152	0.5817539	-0.3016829	0.3293825	0.4616878	0.1097488	0.6431818	0.3208571	-0.3310696	-0.3749458	0.2014132	-0.07876777	-0.4348035	-0.5553233	-0.4878267	0.4523662	-0.2129561	-0.05044319	0.2689254	0.3004707	0.6815747	0.2768041	0.4364115	0.5715383	0.488009	0.5997944	0.09663354	-0.5948647	-0.4217098	-0.07363006	0.4813131
26	[1]	0.0003212164	0.0003212164	0.3927809	0.6911258	-0.3992468	0.724365	0.03163957	0.2486717	0.7563395	0.7294696	0.5626131	-0.6335539	0.3356618	0.04450243	0.3010011	-0.3300748	0.1382575	-0.07179291	0.4879509	0.2211977	-0.08273778	0.3813198	0.1026179	0.2265972	0.3907007	0.07995452	0.4003086	0.4529461	-0.1360458	-0.256958	0.1702476	-0.2039545	-0.4584204	-0.6937976	-0.5670438	0.3917219	-0.4745919	0.141511	0.4068618	0.2281689	0.5749862	0.1271827	0.5101927	0.3104303	0.5324211	0.6406309	-0.01434307	-0.3803088	0.02894033	0.3354597	0.277184
27	[1]	0.0630761	0.0630761	0.3203007	0.5122389	-0.1753656	0.4342506	0.07502363	0.1246334	0.5215402	0.6120079	0.4659283	-0.3898821	0.2975223	-0.1384853	0.1678431	-0.2168888	0.332925	0.15326	0.2048657	0.1923169	-0.00675277	0.3263364	0.09086993	0.2643926	0.2781896	0.061149	0.2964759	0.4321693	-0.1207733	-0.08261697	0.2720401	-0.2218175	-0.1083798	-0.357799	-0.3438497	0.3091432	-0.2794678	0.02923658	0.1784579	0.07880644	0.396456	0.1429708	0.2913281	0.2147226	0.3940957	0.422173	-0.1601836	-0.08372395	-0.09152271	0.2283382	0.2208028
28	[1]	0.09887994	0.09887994	-0.1625982	0.2495757	-0.1246927	0.4416559	-0.1341263	0.1396651	0.3906292	0.2368395	0.03962282	-0.5732816	-0.1756465	0.1563399	0.1669774	-0.04387596	-0.3314885	-0.08245604	0.5816292	0.3778054	-0.07544195	0.007818256	0.2333844	-0.142763	0.536086	-0.103475	0.05500007	-0.07180141	-0.0795511	-0.1913528	-0.04936129	-0.2712587	-0.3721573	-0.534138	-0.4336243	0.2461271	-0.3582673	0.2991715	0.4959058	0.3166388	0.2674321	0.1542832	0.4173847	0.3915746	0.2376151	0.1162785	0.4106114	-0.4208651	0.1693207	0.1816519	-0.07676396
29	[1]	-0.06817229	-0.06817229	0.1114223	0.5690465	-0.5242208	0.795854	0.1078152	0.2095783	0.6963738	0.6673791	0.4344959	-0.6236407	0.1640673	0.1758834	0.2795279	-0.4854454	0.01433249	-0.2015674	0.5175603	0.2906814	-0.07860697	0.2978755	0.08388911	0.1565002	0.548534	-0.02683189	0.476433	0.3175523	-0.1815381	-0.3403429	0.1312156	-0.1855201	-0.5187931	-0.7615791	-0.6063148	0.3135079	-0.4662359	0.266882	0.4824204	0.2215942	0.4935098	0.1098054	0.5873734	0.4823222	0.5312165	0.6446836	0.1147711	-0.5328237	0.09857606	0.2699197	0.2366355
30	[1]	0.04657768	0.04657768	0.08584244	-0.05311596	-0.293436	0.1531422	-0.2144406	0.2760601	0.1201547	0.2216919	0.152082	-0.1565983	-0.03522515	-0.2587031	-0.2312632	-0.1258796	-0.03935743	-0.05543957	0.01917	0.009026639	0.3032093	-0.01113368	0.2681093	-0.1213647	-0.01965611	-0.2517656	-0.02718331	0.1959727	0.1540962	0.03236072	-0.05616386	0.08190389	-0.06931005	-0.04109265	-0.09751496	-0.114505	-0.2115883	0.07358925	-0.03920516	-0.2611205	-0.08119225	-0.08930718	-0.04103523	-0.2122431	0.2791633	0.2875841	-0.2721681	-0.01028186	0.277627	0.3670033	-0.09332298
31	[1]	-0.208624	-0.208624	0.2691173	0.7987492	-0.4779025	0.7908473	0.2588306	0.04443341	0.8027257	0.6357705	0.6401406	-0.6508317	0.4465232	0.4757133	0.6881693	-0.5609436	0.2202132	-0.1366098	0.5467702	0.1831341	-0.4135928	0.5663924	-0.1936023	0.3770734	0.5609357	0.1884199	0.6774069	0.4114425	-0.3144132	-0.3678432	0.2110701	-0.2259891	-0.5497431	-0.7630597	-0.6262451	0.4961513	-0.373301	0.142111	0.5004986	0.477492	0.8108376	0.2996826	0.6302763	0.6025944	0.5979368	0.6833059	0.1521937	-0.6357107	-0.2721491	-0.001904444	0.4425075
32	[1]	0.1998612	0.1998612	0.07078389	0.3724715	-0.3801845	0.6683505	-0.006911231	0.3407291	0.6388832	0.4983639	0.284701	-0.7045143	0.01776153	0.3420362	0.3341522	-0.3288376	-0.01652628	-0.2718754	0.4699509	0.4068447	-0.1120292	0.2454839	0.2122493	0.03097544	0.6543836	-0.1284682	0.4509504	0.1607451	-0.1153074	-0.2881215	0.03440291	-0.1613958	-0.6160709	-0.6702307	-0.6444005	0.1752294	-0.4289855	0.2692971	0.4627189	0.1760107	0.4665646	0.1214069	0.5118841	0.4825073	0.4770811	0.5143347	0.2174088	-0.6248824	0.0512492	0.3938889	0.01963983
33	[1]	0.266859	0.266859	-0.03974038	-0.6082519	0.2037481	-0.7071276	-0.1798756	0.09182082	-0.726973	-0.4399518	-0.3366057	0.5246558	-0.2985115	-0.5937967	-0.6877164	0.286094	-0.1793486	0.2280837	-0.5446355	-0.3458547	0.5241955	-0.3783051	0.34271	-0.3797497	-0.5925827	-0.3401257	-0.6741804	-0.196595	0.1707446	0.2033013	-0.3019928	0.158774	0.5608537	0.6944784	0.5668064	-0.5387882	0.1906599	-0.2253421	-0.3788464	-0.5677368	-0.7484956	-0.346034	-0.5990019	-0.7189789	-0.4747751	-0.4165716	-0.2195753	0.561495	0.2457466	0.1168436	-0.4505952
34	[1]	-0.1193535	-0.1193535	0.1274069	0.207577	-0.2038207	0.1209291	-0.1018421	-0.08645366	0.06323917	0.3586435	0.2699976	-0.1927647	0.1176938	-0.3944452	-0.1634819	-0.1104687	-0.2239767	0.3077049	0.1053875	-0.06411038	0.1218746	0.1421317	0.2392761	-0.06865832	0.03009708	-0.1626006	-0.1205107	0.2680022	-0.1091639	-0.126511	-0.004141658	0.02448133	0.07922954	-0.1485262	-0.07260916	0.05960597	-0.2273628	-0.04352276	0.1502583	-0.09320372	0.02198122	-0.2513633	0.08095127	-0.1314697	0.2618011	0.2246857	-0.1098117	0.04618792	0.2329166	0.1238328	-0.06310329
