baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
Geen0011	161354.071936819	0.000134462597471069	5.26305157709096e-05	2.55484096063885	0.0106236325744282	0.0317274137457049	0.875102426575994	0.637989931255294	4.14526280200211e-09	0.27944297502043	4.08895879019498e-10	0.508323075101621	0.99737819287104	1.4479842985106e-13	0.000843981535318574	0.0154729348229036	1.16186790631542e-08	0.122422840809804	0.0628621341953229	0.000511096921318846	0.0574396103491077	0.716064735783428	0.631567210416874	0.00367975674220967	0.255882701306653	0.0465196610731525	0.0245615837534926	0.711427162952379	0.311418919973418	1.12502064445912e-06	0.530811515764172	6.14965611036617e-05	0.335679077358135	0.591787455547019	0.413664526889963	0.421409542467411	0.606523380422619	4.05084573567151e-05	2.6208898763318e-09	1.05074602382766e-12	0.00045694311818865	0.231947750884632	0.61379614299373	0.00156887602794645	0.00951907122598631	1.22448290670888e-07	0.615070195003925	7.96356150572301e-05	2.54376324215611e-06	0.00201690968960716	0.00949216065315231	0.463924997037727	9.56025521770165e-07	0.582746985181953	0.986763797156304	0.0317274137457049
Geen0012	107523.055420495	-2.18454310453305e-05	2.52873013936195e-05	-0.863889376936148	0.387648663032017	0.494449825295939	0.931179761048013	0.584065674437824	0.176893125267999	0.157693675546894	0.678199086843252	0.451489300715056	0.99737819287104	0.386248306779188	0.577790262552411	0.606258869230353	0.457727114187154	0.455146075305079	0.179714509942135	0.052012710283705	0.158042610414255	0.894732775525149	0.75480802639458	0.249861816231191	0.23335072606094	0.238118025530258	0.770931548770664	0.721091596005949	0.371668034410529	0.0371209482262318	0.158140955440332	0.122109516653267	0.60464819385674	0.881593961975855	0.978058980034972	0.373472809045691	0.606523380422619	0.310052681370638	0.478461557513641	0.150284575011215	0.076462865658651	0.586298041972006	0.445232073025235	0.0813598863089037	0.0757597334342928	0.204956782578289	0.865284262505082	0.101631712814079	0.0116604049110323	0.704727240308689	0.201144968440508	0.166383117475646	0.237443022839268	0.963275059049192	0.962785261045371	0.494449825295939
Geen0013	69695.0585656037	-8.73128247070887e-05	4.51689088370145e-05	-1.93302931054067	0.0532325871685165	0.104173360408056	0.875102426575994	0.664610037095569	1.02362865608238e-05	0.0573728535665438	6.06647830641654e-13	0.266552071099919	0.99737819287104	1.654462955376e-07	2.51621482654215e-05	0.00242077910441258	0.000120244569054717	0.00346210300528795	0.0152446314932509	7.36272784761755e-08	0.00579829736392122	0.711487913076921	0.519430341653945	7.80162793669664e-05	0.254064390113957	0.0858163066786417	0.000620115374352747	0.687656436658074	0.303852239740845	3.9513859601644e-07	0.495188465023092	6.61974883532252e-06	0.0765376766551887	0.540663189385797	0.230106682761864	0.349575301133331	0.604530971493112	4.79958997890727e-05	5.87779813600168e-10	2.20120786204702e-07	1.59074717806614e-05	0.0940093235534351	0.56803009131167	0.00164309430328638	0.00569384717502811	3.55855018234687e-10	0.696405199069245	3.14767437666851e-05	3.69620754603581e-06	0.000337019252635145	1.02249769544859e-05	0.244613048164453	8.88185027165114e-07	0.39498136850215	0.986763797156304	0.104173360408056
Geen0014	81443.673761313	2.14260713775543e-05	2.36966056836931e-05	0.904183141820127	0.36589829776606	0.475192594501377	0.970340435281385	0.941951589867773	1.36136880721096e-06	0.235885322960916	5.87842021413227e-07	0.950132046681163	0.99737819287104	2.30398142850571e-05	0.00216399563602324	0.00430775028418095	4.18822385162359e-05	0.0341856527070044	0.0846258689302527	4.56250292596654e-05	0.14159494718293	0.943972152405202	0.518478013970744	9.85196587676872e-05	0.196180100723574	0.580533771143457	0.0180307537636621	0.644777729513566	0.676754651314341	0.00133039551071996	0.85984666587337	0.00191587031013225	0.143907406406601	0.591787455547019	0.230106682761864	0.550519638400867	0.606523380422619	0.000531560037797659	3.73264654681588e-05	2.90243622014298e-06	0.00997018503104615	0.110205411927524	0.721928892325308	0.00164309430328638	0.0384736547929696	1.80137097377444e-05	0.445578981555428	0.0488393606368203	0.0143563871241076	0.00170186032415179	0.0111142578009979	0.541861599672619	0.00119843526786112	0.82467020155205	0.986763797156304	0.475192594501377
Geen0015	88490.8205231238	8.85320397869231e-06	1.32735480449431e-05	0.666980972134663	0.504784287624334	0.605256939597522	0.864716792089851	0.705271656896001	0.959291432271269	0.0667101098119804	0.173553908218187	0.532861556503873	0.99737819287104	0.466133274690572	0.23188893491294	0.394968396602213	0.410058994323151	0.450103566962478	0.731141575653697	0.836988354854213	0.233480586866669	0.750117339997943	0.502801327691465	0.762430698591758	0.929756078954849	0.683770442066376	0.856529530540647	0.981724947363239	0.71488215982641	0.694046138672899	0.197881844227355	0.393966101769911	0.657131039919483	0.788583185405577	0.384098477797024	0.340114295673937	0.606523380422619	0.098407139943243	0.256774532739578	0.345566872797023	0.582323094425067	0.266936571641517	0.711643821723147	0.448968941637064	0.294359839668483	0.96863640941636	0.727936120422242	0.913751910088278	0.458030742958267	0.426024873657604	0.0378448423303409	0.604145930373594	0.369521445631943	0.658989298440067	0.971347818085599	0.605256939597522
Geen0016	74032.1697500026	5.93067252691644e-05	3.57683101874933e-05	1.65808015414442	0.0973012890268393	0.166897579805899	0.887680137139768	0.504880348915134	3.04777644473803e-06	0.0740186041784912	9.66228437423601e-08	0.807989469534167	0.99737819287104	2.24325855579438e-07	0.000117858448819085	0.00129459764792745	0.000246483838599896	0.0283627312358115	0.208286161352594	0.0017020500925314	0.0902951207162662	0.686221486477068	0.446952591035251	0.000167408541308283	0.251780186175277	0.448715063332111	0.00505310351391606	0.889674590157746	0.368840813962671	0.00105905385909185	0.575088497603581	0.0046330787291067	0.0927262308478994	0.730043086423635	0.33414617690577	0.392351550792455	0.766804799801316	0.000484103547060085	2.81983247972149e-08	0.000722048503887777	0.00191558073826828	0.0603314523882886	0.724075886709011	0.027356118890343	0.0829327733106534	1.0674473451078e-05	0.860319069968286	0.00241608305794161	0.00241648204603413	0.000296121750885457	0.000692113308910379	0.934604418295861	0.000218207388464971	0.610807450116018	0.986763797156304	0.166897579805899
Geen0017	73615.2062882395	-1.23480344316604e-07	2.20606633146643e-05	-0.00559730877332796	0.995534017067501	0.997083740084376	0.88705757526245	0.941951589867773	0.0662984924806939	0.717660711535314	0.00115781946332135	0.705342328191413	0.99737819287104	0.0479582287270652	0.220380956573345	0.214489762102492	0.0240972915251514	0.325499213468773	0.0128211517380694	0.000173060843398879	0.322726130917925	0.943972152405202	0.502801327691465	6.60878308074942e-05	0.189090528540094	0.643772304547609	0.140478089975318	0.626426658783113	0.740910492033386	0.000517082693431488	0.841080935396437	0.0918368592839734	0.781547269308899	0.591787455547019	0.281969991038587	0.693891315295533	0.606523380422619	0.0142784026355196	0.00398577152326238	0.0151751540414964	0.0442956358917708	0.35315027310796	0.700867072876608	0.00187788673662142	0.0336453352940078	0.00661941083749414	0.466194900470803	0.0718113877736845	0.00170440718584879	0.274229918017412	0.276114385292623	0.139289433415587	0.00187444724805152	0.160092001899343	0.986763797156304	0.997083740084376
Geen0018	31838.3454028871	-0.000167425912260254	4.29567692311934e-05	-3.89754432786058	9.71730394441025e-05	0.00183345357441703	0.578454353185074	0.430443040314185	8.88437232577924e-07	0.175853734340006	2.26644988619963e-06	0.29547960866488	0.99737819287104	1.67266085523963e-07	0.00177923843359305	0.00748824945801875	0.154522774434184	0.00713187572410997	0.00489178659339179	1.07505699673324e-06	0.177817967349528	0.605621233556641	0.661260573405983	1.54437660110272e-05	0.42381636770301	0.0325977007653765	0.00551867087724241	0.579453611864674	0.0863239022998503	0.000162136813293385	0.0911789451806049	5.30266475708406e-06	0.149653681580395	0.730659607044598	0.401898458920239	0.320023946475076	0.850532739949056	0.0170196227602582	1.68681367001362e-05	0.00359001021147543	8.47257764247987e-07	0.150755368918526	0.590310830742351	0.00255799151665682	1.10431838773829e-06	5.92987861952992e-10	0.517470215407789	1.11349547200091e-06	2.75615281208737e-08	0.0109242262741244	0.0209954479042099	0.237504439795372	0.0159281419349892	0.0289736326765218	0.991231172519515	0.00183345357441703
Geen0019	66697.303994979	0.000114107993583647	2.01151564556029e-05	5.67273706448665	1.4053384480178e-08	7.02669224008902e-06	0.595625441870622	0.430443040314185	1.87706865650574e-14	0.0416672276460186	2.35181894937816e-13	0.508323075101621	0.99737819287104	1.2306227402931e-25	3.55286396131063e-10	6.28036315596595e-05	5.57188995972431e-05	0.000153431710368556	0.178246511814245	0.000383508904324293	0.0058923640665689	0.440894193546441	0.8227435490182	0.00485088289346586	0.898211936962727	0.0269319668674559	0.000753221226312822	0.579453611864674	0.0132830795067653	0.0081754179624002	0.21901828519434	1.9203046087006e-07	0.023221897201468	0.604419902842528	0.536714191310885	0.321608643865534	0.860832784451174	0.00211169311079528	8.8160511505966e-08	4.55073807791665e-05	8.21628172324495e-07	0.107581769140788	0.685593912192289	0.0430532068906462	0.00153342257513233	2.9049803756182e-11	0.535728146002596	1.74976680410764e-05	0.000988975748509626	9.23877679602694e-06	4.50917722697698e-07	0.755946913453012	0.00254160179272894	0.480022829024131	0.962785261045371	7.02669224008902e-06
Geen0020	64518.7333595145	0.000142505874607448	3.78917642441753e-05	3.76086670678982	0.00016932564585805	0.00254971227886275	0.767210492985537	0.564480933102692	1.37608340806689e-08	0.110030903915049	1.46051781084932e-11	0.448659853220873	0.99737819287104	5.86496502216216e-15	6.69678702668009e-05	0.00484618062499562	4.20320661063512e-06	0.0360999801759212	0.117324680767957	0.000440812992807964	0.0678107670714174	0.651481471006995	0.600197041483675	0.005588016308381	0.476033688621792	0.0192593708924801	0.00882788392649093	0.621542768293077	0.1372617074653	8.53482812402457e-06	0.373884316795496	4.94927069496767e-06	0.167905473401882	0.547714713917547	0.33414617690577	0.392351550792455	0.766804799801316	2.27362188684933e-05	9.34023152970203e-12	8.0616908769499e-07	3.0657554577175e-05	0.175300239753382	0.658444525706733	0.0229145755454515	0.015327169974798	2.93791770961688e-08	0.63534939048427	1.64604536117341e-06	5.01213140224504e-06	0.000321923526912461	0.000916464217287266	0.604145930373594	4.27485203004173e-05	0.627775488880837	0.985814718320784	0.00254971227886275
